player,team,position,salary,origin,origin_evidence,reliability,included_in_market_calibration,notes
Van Jefferson,Sam,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jonathan Taylor,Brandon,RB,41.0,UNKNOWN,"$41, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Justin Jefferson,Brandon,WR,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Nico Collins,Brandon,WR,26.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Breece Hall,Brandon,RB,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Brock Bowers,Brandon,TE,6.0,UNKNOWN,"$6, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Christian McCaffrey,Brandon,RB,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Travis Hunter,Brandon,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Cam Skattebo,Brandon,RB,18.0,UNKNOWN,"$18, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Theo Johnson,Brandon,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Brian Robinson Jr,Brandon,RB,31.0,UNKNOWN,"$31, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Darius Slayton,Brandon,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Colby Parkinson,Brandon,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Josh Allen,Brandon,QB,64.0,UNKNOWN,"$64, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Derrick Henry,Coby,RB,41.0,UNKNOWN,"$41, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Kyren Williams,Coby,RB,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Kyler Murray,Coby,QB,16.0,UNKNOWN,"$16, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,on IR
Brian Thomas Jr,Coby,WR,6.0,UNKNOWN,"$6, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Harold Fannin Jr,Coby,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
TreVeyon Henderson,Coby,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Quinshon Judkins,Coby,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Bo Nix,Coby,QB,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Courtland Sutton,Coby,WR,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Mike Evans,Coby,WR,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Stefon Diggs,Coby,WR,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Dallas Goedert,Coby,TE,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Jacoby Brissett,Coby,QB,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Bhayshul Tuten,Coby,RB,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Devaughn Vele,Coby,WR,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record
Braelon Allen,Coby,RB,nan,UNKNOWN,no salary_2025 value recorded at all,0.0,False,no salary on record; on IR
Patrick Mahomes,Brad,QB,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jaxon Smith-Njigba,Brad,WR,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Davante Adams,Brad,WR,41.0,UNKNOWN,"$41, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jameson Williams,Brad,WR,31.0,UNKNOWN,"$31, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Marvin Harrison Jr,Brad,WR,6.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Tyler Warren,Brad,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Kaleb Johnson,Brad,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
James Conner,Brad,RB,59.0,UNKNOWN,"$59, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
JK Dobbins,Brad,RB,37.0,UNKNOWN,"$37, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Travis Etienne,Brad,RB,39.0,UNKNOWN,"$39, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jaylen Warren,Brad,RB,54.0,UNKNOWN,"$54, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Khalil Shakir,Brad,WR,53.0,UNKNOWN,"$53, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Christian Kirk,Brad,WR,19.0,UNKNOWN,"$19, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Alec Pierce,Brad,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Ollie Gordon,Brad,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Kenneth Gainwell,Brad,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jaydon Blue,Brad,RB,4.0,UNKNOWN,"$4, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jordan Love,Reid,QB,17.0,UNKNOWN,"$17, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Tucker Kraft,Reid,TE,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Drake Maye,Reid,QB,20.0,UNKNOWN,"$20, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Chris Olave,Reid,WR,31.0,UNKNOWN,"$31, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Chuba Hubbard,Reid,RB,27.0,UNKNOWN,"$27, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Javonte Williams,Reid,RB,24.0,UNKNOWN,"$24, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Terry McLaurin,Reid,WR,83.0,UNKNOWN,"$83, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Rashee Rice,Reid,WR,55.0,UNKNOWN,"$55, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Rashod Bateman,Reid,WR,15.0,UNKNOWN,"$15, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Kyle Pitts Sr,Reid,TE,6.0,UNKNOWN,"$6, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Cedric Tillman,Reid,WR,5.0,UNKNOWN,"$5, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Najee Harris,Reid,RB,8.0,UNKNOWN,"$8, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jalen Coker,Reid,WR,3.0,UNKNOWN,"$3, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Chris Rodriguez Jr,Reid,RB,2.0,UNKNOWN,"$2, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Kimani Vidal,Reid,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Mason Taylor,Reid,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Malik Washington,Reid,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Isaiah Davis,Reid,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Amon-Ra St Brown,Evan,WR,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Drake London,Evan,WR,26.0,UNKNOWN,"$26, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Saquon Barkley,Evan,RB,36.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
George Pickens,Evan,WR,31.0,UNKNOWN,"$31, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Puka Nacua,Evan,WR,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Lamar Jackson,Evan,QB,63.0,UNKNOWN,"$63, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Emeka Egbuka,Evan,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Tony Pollard,Evan,RB,70.0,UNKNOWN,"$70, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
RJ Harvey,Evan,RB,70.0,UNKNOWN,"$70, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Dalton Kincaid,Evan,TE,6.0,UNKNOWN,"$6, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Josh Jacobs,Evan,RB,89.0,UNKNOWN,"$89, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Matthew Stafford,Evan,QB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Dalton Schultz,Evan,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Emanuel Wilson,Evan,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jayden Daniels,James,QB,26.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Trey Benson,James,RB,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jordan Addison,James,WR,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Zay Flowers,James,WR,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Colston Loveland,James,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Alvin Kamara,James,RB,88.0,UNKNOWN,"$88, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Aaron Jones Sr,James,RB,66.0,UNKNOWN,"$66, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Keenan Allen,James,WR,29.0,UNKNOWN,"$29, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Zach Charbonnet,James,RB,40.0,UNKNOWN,"$40, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jordan Mason,James,RB,43.0,UNKNOWN,"$43, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Michael Pittman Jr,James,WR,30.0,UNKNOWN,"$30, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Wan'Dale Robinson,James,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Trevor Lawrence,James,QB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Rico Dowdle,James,RB,3.0,UNKNOWN,"$3, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Darren Waller,James,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Juwan Johnson,James,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
DK Metcalf,Ryan J,WR,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Keon Coleman,Ryan J,WR,6.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Jajuan Jennings,Ryan J,WR,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
DeVon Achane,Ryan J,RB,16.0,UNKNOWN,"$16, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
